Groups,n_TFs,TFs
DHT+,61,"ATF1, ATF2, ATF3, CREB1, CREB3, CREB3L4, ELF2, ERF, ETV3, FOXN3, GMEB2, GRHL2, HINFP, KMT2A, LRRFIP1, MAFG, MEF2A, MXI1, MYBL2, MYC, NFATC3, NR2F6, RBAK, RELA, RFX5, RFX7, STAT1, TCFL5, TFAP2C, TFEB, THAP11, UBP1, XBP1, ZBED4, ZBTB33, ZBTB42, ZBTB44, ZBTB7A, ZFP64, ZIK1, ZNF12, ZNF148, ZNF160, ZNF189, ZNF213, ZNF282, ZNF30, ZNF320, ZNF354A, ZNF417, ZNF418, ZNF431, ZNF548, ZNF561, ZNF613, ZNF621, ZNF664, ZNF682, ZNF692, ZNF765, ZNF778"
DHT-,51,"ARNT, BCL6, E2F6, ELF1, ETV1, FOXK1, GABPA, GATA2, HES6, HMGA1, HSF1, HSF4, JUNB, KLF13, KLF3, KLF9, MAZ, MSANTD3, NFIX, OVOL2, PITX1, PKNOX1, RBPJ, RXRA, TBX1, TBX3, TEAD3, TFE3, TGIF2, THRA, YBX1, ZBTB43, ZBTB6, ZBTB7B, ZFP28, ZKSCAN1, ZNF133, ZNF140, ZNF146, ZNF211, ZNF24, ZNF331, ZNF337, ZNF362, ZNF382, ZNF441, ZNF562, ZNF586, ZNF74, ZNF75A, ZNF776"
LFC- & DHT+,31,"ATF4, BACH1, CEBPB, CEBPG, E4F1, FOSL2, IRF2, IRF7, JUND, KLF16, NFAT5, NFE2L1, NFE2L2, NR1H2, NRF1, SMAD4, SOX4, STAT2, TAF1, TCF12, TEF, THAP1, TP53, YY1, ZBTB11, ZBTB45, ZFP90, ZFP91, ZFX, ZNF143, ZNF610"
LFC+,25,"ATF7, ELF3, FOXK2, FOXP1, FOXP4, HIF1A, HOXB13, KLF11, MLX, NFIC, NFKB1, PPARD, REST, SMAD2, SOX13, TBP, THRB, USF1, ZBTB16, ZFP41, ZNF263, ZNF276, ZNF429, ZNF467, ZNF714"
LFC-,18,"ELK1, ELK4, GMEB1, HMBOX1, IRF6, JUN, KLF4, MGA, MNX1, MZF1, NFKB2, PKNOX2, SP2, SREBF1, SRF, ZNF266, ZNF302, ZNF793"
LFC+ & DHT-,16,"AR, ARID1A, CREM, CTCF, DDIT3, ESRRA, MESP1, NFIA, NR4A1, PRDM4, RARG, SP3, ZNF274, ZNF506, ZNF614, ZNF791"
LFC- & DHT-,15,"CLOCK, DBP, MNT, MXD4, NKX3-1, RREB1, STAT5B, VEZF1, ZNF264, ZNF384, ZNF558, ZNF623, ZNF7, ZNF768, ZNF787"
LFC+ & DHT+,11,"CENPB, FOXA1, FOXM1, FOXO3, SP1, SPDEF, TGIF1, ZNF322, ZNF343, ZNF740, ZNF766"
